month_year,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15
05-2022,539.5711239572688,348.00604178118596,287.46657186618677,279.5787132664487,404.589797601624,504.63923073950144,357.2525383979069,388.1645972480583,3924.5101147217824,4377.766551646781,3632.8001380257924,4039.7027704378293,0,0,0,41632.47170673898
06-2020,804.7028087101789,810.9376020319214,709.4569324301872,643.7642390266975,613.1627892936364,600.8012601493053,800.9415540976704,717.5795900645846,14234.343985833139,17100.113498744533,17205.05176248286,15203.401486165929,0,0,0,36308.34418768981
06-2021,1055.6909141396807,1005.8755297939276,882.1007347245908,856.1660701746132,1038.3249554391307,807.9309485212834,1051.3337281416468,1209.2672121498906,15068.747293738346,13484.60642424247,16542.994913722698,16463.86135703725,0,0,0,96483.21974418662
06-2022,1221.2431660705304,1703.9622779310678,1392.9067909780726,1196.0262292310197,1331.1154549048854,1197.9685583763992,1230.8362090883638,1021.5728475024267,27374.82432545607,18187.160373759703,28345.917464335856,22786.44488756236,0,0,0,158082.07609593216
07-2020,1525.7918464124475,1643.082627069691,1484.2754821254528,1525.2183417350623,1733.171048769547,1443.1357789336016,1550.2955566012185,1653.5241026317888,26657.064363927755,26048.363390460967,26024.349798817788,20912.34794828968,0,0,0,71809.86537600067
07-2021,1188.6201273492484,931.5276870506211,800.0500735154646,1107.2391949390399,968.7552210745899,1166.3058691353353,1090.5620104075613,1087.7679271804532,18853.551493862313,16366.844734511165,16496.100732005965,18399.511447886034,0,0,0,115623.0501864382
07-2022,1117.5797244606056,1184.1779399024194,896.5318758617756,835.1644686449476,946.6137103472038,1028.4773649060048,916.5708794978309,1010.0323238368672,15789.8844478644,10971.897529548527,19672.39670046563,16723.92087605873,0,0,0,91252.79050363014
08-2020,832.4480442027306,831.191494337317,947.2893290835932,737.4459240419907,840.338749456562,1005.2664589635267,696.961525035581,891.1533618201651,11120.45533026988,10349.588897410842,10087.739623204641,15932.863809222865,0,0,0,40801.4109994758
08-2021,636.517284554001,415.5922988383803,530.3236248814518,613.6821155644582,804.996780990933,737.3545313723913,718.6120211184129,587.1537328865628,11201.855822902908,11522.125409792157,11770.550579236018,12015.052847124609,0,0,0,53920.402964343055
08-2022,1091.891178503207,1125.532196380916,1086.9251822072324,886.7722694873245,937.6562649925252,1368.156969247696,1178.274294478672,974.2698052400513,21514.490995225242,29278.09001341339,18911.624883933244,18184.75494467764,0,0,0,73051.72974275248
09-2020,620.4238276562774,657.5683845150604,413.83383799832956,590.9694958256998,748.2845594324776,554.0960921715778,642.8393811735847,613.912577220924,12946.064952667446,9019.759490560758,7890.932074057399,9296.48875523751,0,0,0,29715.09987267557
09-2021,1695.601112502208,1321.0032565185857,1706.9465775128197,1551.6754209801572,1737.4350470185807,1598.212372964754,1671.1346139269242,1760.5871240016027,26481.803259652275,27738.953815964036,28365.880853236988,27749.07383955398,0,0,0,72052.44560362607
09-2022,856.8274443792847,1150.838839481052,695.5854318605544,629.4719429119539,752.6799159901798,786.5599686771037,850.482127241613,715.3215920091214,15570.758864650232,11781.636595892081,13557.158469413664,12649.35637186843,0,0,0,57051.3901283571
10-2020,1030.603332721652,1093.2003238588443,862.767609250479,643.6663648859902,734.5671007661007,924.2674835432082,628.890554547479,772.1905982322203,15599.131982082294,22469.488584488525,18662.863373313554,18317.959602815667,0,0,0,51849.949892800716
10-2021,1042.1253680524171,1032.2764201005969,908.2113902800647,1013.0037604053997,1341.1467113514814,979.2807138791702,813.9445051752899,967.5743850071859,16430.43624184266,16793.12357658368,10876.030873729344,16578.231274031896,0,0,0,42373.469114367836
10-2022,378.75998297756894,442.50204866949434,512.6772746751151,567.2882500671391,391.5463481305962,397.4401945199665,766.3854261641244,504.78838957171763,12394.01796949937,12088.88635979135,11869.48873596982,11260.6490255014,0,0,0,62132.94601602613
11-2020,843.9213651543541,1050.9121732350186,698.6642385857726,747.5816940399607,737.9610310366136,1024.335264429172,876.4003255012027,747.3490689075595,14593.728649713623,13158.110782620337,10138.109927665782,12563.545019774054,0,0,0,23650.346385429923
11-2021,398.93966575002844,582.8914046800734,371.1069092563305,297.38541157723125,359.91486551417137,468.6895040395117,560.6566775257435,365.0298820384371,8581.938072556828,8585.387223141923,5686.835514328199,7404.3781424756235,0,0,0,38770.88151520458
11-2022,92.95824992555677,87.25012408585388,47.00413899004766,86.92529067174507,89.62350770666187,52.72124859731656,52.31519746601599,120.72231165350902,2749.4093314479196,1629.1860742470467,1643.8034095531393,1474.6653693135236,0,0,0,12181.422619488596
12-2020,820.269049522848,1119.4642691922347,795.0555041289321,1037.387343126049,1100.3621107250704,1071.0279904413287,1105.8714542100856,924.5098031875295,15396.22705284866,12674.459494247003,19027.631163714555,19222.790683706735,0,0,0,68329.14671820374
12-2021,1295.4606025973465,1261.7598595352465,985.4456056193144,1258.56113371636,1081.3225764597028,885.8964090359619,1448.6401601473929,1396.075998945642,15528.080172131431,16621.254909111776,15560.311091530955,14371.695522718604,0,0,0,133928.13633216138
